frame_index,timestamp_ms,knee_angle_left,knee_angle_right,trunk_lean_angle,elbow_angle_left,elbow_angle_right,foot_strike_offset_left,foot_strike_offset_right,hip_height,knee_symmetry_diff,step_length,knee_rom_proxy
34,1133.3333333333333,133.21106919944606,162.44401236979257,11.316018196384993,61.349900185595885,,-0.16470521688461304,0.2932562232017517,0.46435484290122986,29.232943170346516,0.47002980956624824,0.16240523983525842
36,1200.0,134.29420664178863,139.6748642955154,10.123703267609633,57.037063283147546,,-0.17774227261543274,0.33048588037490845,0.47303780913352966,5.380657653726757,0.5293265425214785,0.029892542520704207
38,1266.6666666666665,116.79820242763155,116.11869255743653,8.61931035161817,55.52570418104242,,-0.07501649856567383,0.29069221019744873,0.49846141040325165,0.6795098701950195,0.4061988385397147,0.003775054834416775
40,1333.3333333333333,66.56048349239131,119.49938755253476,8.598802181412896,56.822145156786,,0.14698082208633423,0.10521262884140015,0.5188395082950592,52.93890406014344,0.11628867789126751,0.29410502255635246
42,1400.0,110.65024592326908,129.39273063083164,10.617329455229996,70.60938251784533,,0.12831753492355347,-0.1932307481765747,0.5171796381473541,18.742484707562554,0.3297576212115356,0.10412491504201418
44,1466.6666666666665,129.8206580576681,127.27950657807503,14.16571839305619,66.3550377098451,,0.2622106671333313,-0.11910498142242432,0.5078105032444,2.5411514795930827,0.3516203822450032,0.01411750821996157
46,1533.3333333333333,131.85382337927444,168.40554114798294,13.87932945618949,71.74217593070065,,0.311667263507843,-0.2068142294883728,0.4887610971927643,36.5517177687085,0.49023334718869277,0.20306509871504722
48,1600.0,122.83202653549698,150.11877461796973,10.59859279721235,84.23166646407469,,0.3579137921333313,-0.16439661383628845,0.47999490797519684,27.286748082472755,0.5074267111833879,0.15159304490262643
50,1666.6666666666667,82.74389913843552,125.24676888295303,9.376699205825702,80.69821549032542,,0.28540414571762085,-0.06326961517333984,0.5211881399154663,42.50286974451751,0.3857066374689306,0.2361270541362084
52,1733.3333333333335,67.19917425656311,110.45682754526882,11.105387218448318,66.93373339207116,,0.16868174076080322,0.04284566640853882,0.5254477560520172,43.25765328870571,0.1702412693457633,0.24032029604836505
54,1800.0,73.59429965962515,152.75775836001074,12.442921262331033,61.795940723837035,,0.014500021934509277,0.15057754516601562,0.5230763256549835,79.16345870038559,0.17254492922221887,0.43979699277991996
56,1866.6666666666667,126.20597374334649,161.22830791301143,11.222368064569814,63.53117855155203,,-0.14473211765289307,0.26321643590927124,0.48518671095371246,35.022334169664944,0.42829615773607765,0.19456852316480525
58,1933.3333333333333,137.27846121759575,175.22364588094294,7.4766146110889995,59.936643776263686,,0.17922323942184448,-0.14875373244285583,0.48507967591285706,37.94518466334719,0.34888613712349664,0.21080658146303996
60,2000.0,120.96132328305578,150.59485068437886,7.483382370880042,56.60241539077009,,-0.18376168608665466,0.268613338470459,0.49708695709705353,29.63352740132308,0.4414667225860443,0.16463070778512823
62,2066.6666666666665,95.9639416667493,83.43437562743817,7.633474515100468,60.70062014913231,,-0.035077571868896484,0.2090144157409668,0.5282591581344604,12.529566039311135,0.23478420217793539,0.06960870021839519
